,Long,Lat,Code,Campground,Type,City,State
,35.437,-94.167,CLEA,Clear Creek,COE,Alma,AR
,34.318,-94.223,COSF,Cossatot Falls - Cossatot River State Park,SP,Wickes,AR
,34.215,-94.235,COSS,Cossatot Reefs - Gillham Lake,COE,Gillham,AR
,33.791,-93.966,COTT,Cottonshed Landing - Millwood Lake,COE,Mineral Springs,AR
,34.963,-93.185,COUN,County Line,COE,Plainview,AR
,35.477,-92.156,COVE,Cove Creek - Greers Ferry Lake,COE,Heber Springs,AR
,35.223,-93.622,COVL,Cove Lake  Complex,NF,Paris,AR
,34.175,-93.669,COWH,Cowhide Cove - Lake Greeson,COE,Kirby,AR
,35.777,-90.7,CRAI,Craighead Forest Park,CP,Jonesboro,AR
,36.406,-92.32,CRAN,Cranfield - Norfolk Lake,COE,Mountain Home,AR
,34.041,-93.676,CRAT,Crater of Diamonds State Park,SP,Murfreesboro,AR
,36.484,-93.287,CRIC,Cricket Creek,COE,Omaha,AR
,33.144,-92.095,CROS,Crossett RV Park,AUTH,Crossett,AR
,36.044,-90.664,CROW,Crowleys Ridge State Park,SP,Paragould,AR
,34.479,-93.639,CRYL,Crystal,NF,Norman,AR
,34.542,-93.357,CRYS,Crystal Springs - Lake Ouachita,COE,Hot Springs,AR
,34.233,-93.74,DAIS,Daisy State Park,SP,Kirby,AR
,34.145,-93.712,DAMA,Dam Area - Lake Greeson,COE,Murfreesboro,AR
,36.382,-92.596,DAM2,Dam Site - Bull Shoals Lake,COE,Bull Shoals,AR
,35.527,-92.009,DAM1,Dam Site - Greers Ferry Lake,COE,Heber Springs,AR
,36.433,-93.848,DAML,Dam Site Lake  - Beaver Lake,COE,Eureka,AR
,36.419,-93.848,DAMR,Dam Site River - Beaver Lake,COE,Eureka,AR
,34.247,-93.146,DEGR,DeGray Lake State Park,SP,Bismarck,AR
,35.297,-93.275,DELA,Delaware Park, ,Dardanelle,AR
,34.547,-93.489,DENB,Denby Point - Lake Ouachita,COE,Mount Ida,AR
,35.782,-94.25,DEVI,Devils Den State Park,SP,West Fork,AR
,35.584,-92.177,DEVF,Devils Fork - Greers Ferry Lake,COE,Greers Ferry,AR
,34.752,-92.262,DOWN,Downtown Riverside RV Park,CP,,AR
,34.644,-93.633,DRAG,Dragover,NF,Pencil Bluff,AR
,35.341,-93.435,DUBL,Dublin Park, ,Scranton,AR
,34.256,-93.185,EDGE,Edgewood - De Gray Lake,COE,Arkadelphia,AR
,36.054,-93.189,ERBI,Erbie - Buffalo National River,NP,Jasper,AR
,33.66,-93.609,FARC,Fair City RV Park,CP,Hope,AR
,35.571,-92.295,FARB,Fairfield Bay RV Campground,CP,Fairfield Bay,AR
,35.738,-93.094,FAIR,Fairview,NF,Jasper,AR
,35.312,-94.306,FORT,Fort Chaffee RV Military,MIL,Fort Smith,AR
,33.471,-94.006,FOUR,Four States Fairgrounds RV,CP,Texarkana,AR
,34.627,-93.66,FULT,Fulton Branch,NF,Mt. Ida,AR
,36.421,-92.221,GAMA,Gamaliel - Norfolk Lake,COE,Gamaliel,AR
,36.288,-92.267,GEOR,Georges Cove, ,Mountain Home,AR
,33.06,-92.125,GRAN,Grand Marais County Park,CP,Felsenthal,AR
,34.525,-93.036,GULP,Gulpha Gorge - Hot Springs National Park,NP,Hot Springs,AR
,35.994,-92.212,GUNN,Gunner Pool,NF,Fifty Six,AR
,36.314,-91.483,HARD,Hardy Camper Park,CP,Hardy,AR
,35.677,-93.255,HAW,Haw Creek Falls,NF,Pelsor,AR
,35.501,-92.076,HEBE,Heber Springs - Greers Ferry Lake,COE,Heber Springs,AR
,36.372,-92.233,HEND,Henderson - Norfolk Lake,COE,Mountain Home,AR
,33.498,-93.77,HERV,Hervey Access Camping,CP,Hervey,AR
,36.241,-94.031,HICK,Hickory Creek - Beaver Lake,COE,Springdale,AR
,36.491,-92.774,HIGH,Highway 125 - Bull Shoals Lake,COE,Yellville,AR
,34.626,-93.541,HI27,Highway 27 - Lake Ouachita,COE,Story,AR
,35.61,-92.15,HILL,Hill Creek - Greers Ferry Lake,COE,Greers Ferry,AR
,35.568,-93.641,HORS,Horsehead Lake,NF,Clarksville,AR
,36.287,-94.024,HORB,Horseshoe Bend - Beaver Lake,COE,Rogers,AR
,34.14,-94.094,HORS,Horseshoe Bend - Dierks Lake,COE,Lockesburg,AR
,36.422,-93.891,INDI,Indian Creek - Beaver Lake,COE,Gateway,AR
,34.227,-93.126,IRON,Iron Mountain - De Gray Lake,COE,Arkadelphia,AR
,34.761,-93.073,IROS,Iron Springs,NF,Jessieville,AR
,34.686,-93.373,IRON,Irons Fork - Lake Ouachita,COE,Story,AR
,35.035,-93.845,JACK,Jack Creek,NF,Booneville,AR
,35.637,-91.316,JACS,Jacksonport State Park,SP,Newport,AR
,34.155,-94.102,JEFF,Jefferson Ridge - Dierks Lake,COE,Dierks,AR
,35.511,-91.994,JOHN,John F Kennedy - Greers Ferry Lake,COE,Heber Springs,AR
,34.582,-93.443,JOPL,Joplin - Lake Ouachita,COE,Mount Ida,AR
,36.269,-92.194,JORD,Jordan - Norfolk Lake,COE,Salesville,AR
,34.233,-93.696,KIRB,Kirby Landing - Lake Greeson,COE,Kirby,AR
