,Lat,Long,Code,Campground,Type,City,State
,39.658,-105.593,ECHL,Echo Lake - Idaho Springs,NF,Idaho Springs,CO
,40.525,-108.983,ECHP,Echo Park - Dinosaur National Monument,NM,Maybell,CO
,39.049,-107.936,EGGL,Eggleston,NF,Cedaredge,CO
,39.152,-106.418,ELBE,Elbert Creek,NF,Leadville,CO
,38.937,-105.503,ELEV,Eleven Mile State Park,SP,Lake George,CO
,37.126,-106.368,ELKO,Elk Creek,NF,Antonito,CO
,38.466,-107.167,ELKC,Elk Creek - Curecanti Area,NP,Gunnison,CO
,39.344,-106.612,ELKW,Elk Wallow,NF,Basalt,CO
,39.874,-106.325,ELLI,Elliott Creek,NF,Silverthorne,CO
,39.762,-105.684,EMPI,Empire City RV Parking,CP,Emprire,CO
,38.958,-107.264,ERIC,Erickson Springs,NF,Paonia,CO
,39.01,-104.994,FARI,Farish Military - USAF Academy,MIL,Colorado Springs,CO
,39.276,-106.352,FATH,Father Dyer,NF,Leadville,CO
,37.618,-108.647,FERR,Ferris Canyon,NF,Cortez,CO
,38.441,-105.536,FIVE,Five Points - Arkansas Headwaters State Rec Area,SP,,CO
,39.326,-105.086,FLAR,Flat Rocks,NF,Sedalia,CO
,40.372,-105.233,FLRE,Flatiron Reservoir,CP,Loveland,CO
,40.681,-102.845,FLEM,Fleming RV Park,CP,Fleming,CO
,37.452,-107.682,FLOR,Florida,NF,Bayfield,CO
,39.614,-102.22,FOST,Foster Grove - Bonny Lake State Park,SP,Idalia,CO
,39.21,-106.104,FOUR,Fourmile,NF,Fairplay,CO
,40.762,-107.421,FREE,Freeman Reservoir,NF,Craig,CO
,39.15,-108.74,FRUI,Fruita - Colorado River State Park,SP,Fruita,CO
,39.492,-106.658,FULF,Fulford Cave,NF,Eagle,CO
,38.547,-106.302,GARF,Garfield,NF,Salida,CO
,40.727,-108.887,GATL,Gates of Lodore - Dinosaur National Monument,NM,Maybell,CO
,39.532,-105.737,GENE,Geneva Park,NF,Jefferson,CO
,39.734,-105.689,GEOR,Georgetown Lake,CP,Georgetown,CO
,40.33,-105.596,GLAC,Glacier Basin - Rocky Mountain National Park,NP,Estes Park,CO
,38.655,-106.574,GOLC,Gold Creek,NF,Gunnison,CO
,39.404,-106.436,GOLP,Gold Park,NF,Minturn,CO
,39.171,-105.359,GOOS,Goose Creek,NF,Woodland Park,CO
,39.627,-106.275,GORC,Gore Creek,NF,Vail,CO
,40.074,-106.56,GORP,Gore Pass,NF,Kremmling,CO
,38.982,-107.006,GOTH,Gothic,NF,Crested Butte,CO
,37.391,-107.54,GRAH,Graham Creek,NF,Bayfield,CO
,40.503,-105.772,GRAV,Grand View,NF,Fort Collins,CO
,40.496,-106.691,GRAN,Granite,NF,Steamboat Springs,CO
,38.407,-105.316,GRAP,Grape Creek - Temple Canyon Park,CP,Canon City,CO
,39.326,-105.356,GREE,Green Mountain,NF,Deckers,CO
,40.206,-105.844,GRER,Green Ridge,NF,Granby,CO
,37.936,-104.846,GREE,Greenhorn Meadows Park,CP,Colorado City,CO
,40.557,-106.599,GRIZ,Grizzly Creek,NF,Walden,CO
,39.613,-105.716,GUAN,Guanella Pass,NF,Georgetown,CO
,39.651,-106.952,GYPS,Gypsum,BLM,Glenwood Springs,CO
,40.84,-106.997,HAHN,Hahns Peak Lake,NF,Steamboat Springs,CO
,39.501,-106.432,HALF,Halfmoon,NF,Leadville,CO
,39.161,-106.396,HALE,Halfmoon East,NF,Leadville,CO
,39.158,-106.397,HALW,Halfmoon West,NF,Leadville,CO
,39.483,-105.805,HALL,Hall Valley,NF,Webster,CO
,39.482,-105.802,HAND,Handcart,NF,Jefferson,CO
,37.813,-106.737,HANS,Hansons Mill,NF,Creede,CO
,39.015,-105.362,HAPP,Happy Meadows,NF,Woodland Park,CO
,40.646,-102.624,HARV,Harvester Park,CP,Haxtun,CO
,37.534,-107.808,HAVI,Haviland Lake,NF,Durango,CO
,38.33,-105.823,HAYD,Hayden Creek,NF,Salida,CO
,40.49,-107.311,HEAY,Headquarters  - Yampa River State Park,SP,Hayden,CO
,39.604,-106.078,HEAT,Heaton Bay,NF,Frisco,CO
,38.653,-106.052,HECL,Hecla Junction - Arkansas Headwaters State Rec Area,SP,Salida,CO
,40.335,-105.464,HERM,Hermit Park Open Space,CP,Estes Park,CO
,40.507,-106.608,HIDD,Hidden Lakes,NF,Walden,CO
,38.041,-107.133,HIDV,Hidden Valley,NF,Lake City,CO
,39.919,-105.784,HIDE,Hideaway Park,CP,Winter Park,CO
,39.27,-108.836,HIGL,Highline Lake State Park,SP,Loma,CO
