,Lat,Long,Code,Campground,Type,City,State
,35.106,-120.627,OCEA,Oceano County,CP,Oceano,CA
,35.093,-120.617,OCEA,Oceano Dunes State Veh Rec Area,SRVA,Oceano,CA
,33.151,-116.167,OCOT,Ocotillo Wells State Vehicle Area,SRA,Ocotillo Wells,CA
,37.799,-119.071,OHRI,Oh Ridge,NF,June Lake,CA
,39.309,-122.645,OLDM,Old Mill,NF,Stonyford,CA
,37.648,-118.964,OLDS,Old Shady Rest,NF,Mammoth Lakes,CA
,41.377,-123.451,ONEI,Oneil Creek,NF,Seiad Valley,CA
,33.657,-117.604,ONRP,ONeill Regional Park,CP,Trabuco Canyon,CA
,36.772,-118.341,ONIO,Onion Valley,NF,Independence,CA
,39.772,-122.353,ORLA,Orland Buttes Rec Area,COE,Orland,CA
,41.663,-121.987,ORRL,Orr Lake,NF,Macdoel,CA
,33.539,-117.553,ORTE,Ortega Flats - Caspers Wilderness Co Park,CP,San Juan Capis,CA
,32.983,-115.133,OSBO,Osborne Overlook - Imperial Sand Dunes OHV,BLM,Brawley,CA
,35.022,-117.022,OWLC,Owl Canyon,BLM,Barstow,CA
,34.694,-119.329,OZEN,Ozena,NF,Frazier Park,CA
,38.517,-119.902,PACI,Pacific Valley,NF,Bear Valley,CA
,39.624,-120.648,PACK,Packsaddle,NF,Sierra City,CA
,32.961,-115.168,PAD1,Pads  - Imperial Sand Dunes OHV,BLM,Brawley,CA
,32.934,-115.137,PAD2,Pads - Imperial Sand Dunes OHV,BLM,Brawley,CA
,38.179,-119.322,PAHA,Paha,NF,Bridgeport,CA
,33.617,-115.999,PAIN,Painted Canyon,BLM,Mecca,CA
,37.495,-118.719,PALI,Palisade,NF,Mammoth Lakes,CA
,33.328,-115.946,PALM,Palm Beach Dry Camp,CP,Thermal,CA
,33.399,-114.725,PALO,Palo Verde County Park,CP,Palo Verde,CA
,32.994,-115.091,PALO,Palo Verde Flats - Imperial Sand Dunes OHV,BLM,Brawley,CA
,36.339,-117.467,PANS,Panamint Springs, ,Panamint Springs,CA
,35.809,-118.571,PANO,Panorama, ,Posey,CA
,41.843,-123.929,PANF,Panther Flat,NF,Gasquet,CA
,41.355,-122.202,PANT,Panther Meadows,NF,Mccloud,CA
,34.542,-119.811,PARA,Paradise,NF,Santa Barbara,CA
,35.651,-118.425,PARC,Paradise Cove,NF,Lake Isabella,CA
,38.537,-120.24,PARP,Pardoes Point,NF,Pioneer,CA
,32.958,-116.583,PASO,Paso Picacho - Cuyamaca Rancho State Park,SP,Julian,CA
,39.506,-120.534,PASS,Pass Creek,NF,Truckee,CA
,41.872,-123.846,PATR,Patrick Creek,NF,Crescent City,CA
,41.136,-124.156,PATP,Patricks Point State Park,SP,Trinidad,CA
,41.198,-120.186,PATT,Patterson,NF,Eagleville,CA
,41.555,-121.561,PAYN,Payne Springs,NF,McCloud,CA
,41.309,-123.519,PEAR,Pearch Creek,NF,Orleans,CA
,38.789,-121.075,PENS,Peninsula - Folsom Lake State Rec Area,SRA,Folsom,CA
,39.724,-120.98,PENI,Peninsula Tent (Family ),NF,La Porte,CA
,39.301,-122.93,PENN,Penny Pines,NF,Upper Lake,CA
,41.45,-120.241,PEPP,Pepperdine,NF,Alturas,CA
,38.247,-122.783,PETA,Petaluma Lake Area Military,MIL,Petaluma,CA
,36.249,-121.783,PFEI,Pfeiffer Big Sur State Park,SP,Big Sur,CA
,40.028,-121.467,PHLB,Philbrook - Feather River,UTIL,Paradise,CA
,40.466,-123.191,PHIL,Philpot,NF,Hayfork,CA
,33.034,-114.673,PICA,Picacho State Rec Area,SRA,Winterhaven,CA
,38.34,-119.803,PIGF,Pigeon Flat,NF,Bridgeport,CA
,40.767,-123.13,PIGP,Pigeon Point,NF,Junction City,CA
,34.726,-120.511,LINC,Pine Canyon Military - Vandenberg AFB,MIL,,CA
,37.604,-119,PINC,Pine City,NF,Mammoth Lakes,CA
,38.727,-120.557,PINE,Pine Cone  - Sly Park Recreation Area,CP,Pollock Pines,CA
,36.829,-119.338,PINF,Pine Flat Rec Area,CP,Fresno,CA
,37.649,-118.955,PING,Pine Glen - Mammouth Lakes,NF,Mammoth Lakes,CA
,34.236,-116.886,PINK,Pine Knot,NF,Big Bear,CA
,38.482,-119.989,PNMT,Pine Marten,NF,Bear Valley,CA
,34.639,-119.329,PINM,Pine Mountain,NF,Ojai,CA
,40.927,-122.247,PINP,Pine Point,NF,Redding,CA
,34.692,-119.133,PINS,Pine Springs,NF,Frazier Park,CA
,38.19,-119.995,PINR,Pinecrest,NF,Mi-Wuk,CA
,36.499,-121.141,PINL,Pinnacles,NM,Pinnacles,CA
,36.95,-121.767,PINT,Pinto Lake Park,CP,Watsonville,CA
,33.585,-116.455,PINY,Pinyon Flat,NF,Palm Desert,CA
,35.651,-118.486,PION,Pioneer Point,NF,Lake Isabella,CA
,38.567,-120.433,PIPI,Pipi,NF,Pioneer,CA
,40.992,-121.506,PITR,Pit River,BLM,Burney,CA
,40.921,-121.553,PITC,Pit River/Cassel,UTIL,Burney,CA
,37.373,-119.362,PLAC,Placer,NF,Fresno,CA
,38.759,-121.295,PLAF,Placer County Fair RV,CP,Roseville,CA
,35.918,-121.467,PLAT,Plaskett Creek,NF,Lucia,CA
,39.729,-122.845,PLAM,Plaskett Meadows,NF,Elk Creek,CA
,39.014,-120.293,PLEA,Pleasant,NF,,CA
,37.407,-118.505,PLEV,Pleasant Valley,CP,Bishop,CA
,41.713,-120.326,PLUM,Plum Valley,NF,Davis Creek,CA
,39.757,-120.702,PLUE,Plumas - Eureka State Park,SP,Blairsden,CA
,39.442,-122.968,POGI,Pogie Point - Lake Pillsbury,NF,Potter Valley,CA
,34.1,-119.104,POIM,Point Mugu Military,MIL,,CA
,35.998,-121.384,POND,Ponderosa,NF,San Simeon,CA
,38.906,-120.603,PONC,Ponderosa Cove,NF,Pollock Pines,CA
,40.168,-121.187,POND,Ponderosa Flat,CP,Chester,CA
,37.809,-119.566,PORC,Porcupine Flat - Yosemite National Park,NP,,CA
,36.601,-118.072,PORG,Portagee Joe,CP,Lone Pine,CA
,37.32,-119.067,PORT,Portal Forebay,NF,Lakeshore,CA
,37.262,-122.212,PORR,Portola Redwoods State Park,SP,Lahonda,CA
,40.188,-121.532,POTA,Potato Patch,NF,Chester,CA
,32.615,-116.595,POTE,Potrero,CP,Potrero,CA
,36.517,-118.801,POTW,Potwisha - Sequoia National Park,NP,Three Rivers,CA
,33.942,-117.641,PRAD,Prado Regional Park,CP,Chino,CA
,40.963,-122.73,PREA,Preacher Meadow,NF,Trinity Center,CA
,36.804,-118.94,PRIN,Princess,NF,Hume,CA
,39.378,-120.16,PROS,Prosser,NF,Truckee,CA
,37.648,-119.075,PUMI,Pumice Flat,NF,Mammoth Lakes,CA
,36.121,-118.545,QUAK,Quaking Aspen,NF,Camp Nelson,CA
,40.046,-121.218,QUEE,Queen Lily,NF,Quincy,CA
,37.61,-120.008,RAIL,Railroad Flat,BLM,,CA
,38.739,-120.528,RAIN,Rainbow  - Sly Park Recreation Area,CP,Pollock Pines,CA
,40.707,-120.252,RAMH,Ramhorn Springs,BLM,Susanville,CA
,39.54,-120.91,RAMS,Ramshorn,NF,Downieville,CA
,37.25,-119.161,RANC,Rancheria,NF,Lakeshore,CA
,33.98,-117.413,RANJ,Rancho Jurupa Park,CP,Riverside,CA
,38.332,-121.094,RANC,Rancho Seco,UTIL,Herald,CA
,38.332,-121.094,RACO,Rancho Seco Rec Area,UTIL,Herald,CA
,41.299,-123.229,REDB,Red Bank,NF,,CA
,39.735,-120.971,REDF,Red Feather,NF,La Porte,CA
,33.202,-115.613,REDM,Red Hill Marina,CP,Calipatria,CA
,35.371,-117.98,REDR,Red Rock Canyon State Park,SP,,CA
,41.167,-120.83,REDT,Red Tail Rim South,NF,Adin,CA
,37.145,-119.454,REDI,Redinger,NF,Fresno,CA
,37.619,-119.073,REDS,Reds Meadow,NF,Mammoth Lakes,CA
,40.78,-124.129,REDF,Redwood Acres Fairgrounds,CP,Eureka,CA
,39.163,-123.206,REDW,Redwood Empire Fair RV Park,CP,Ukiah,CA
,35.977,-118.592,REDW,Redwood Meadow,NF,Ducor,CA
,34.463,-120.072,REFU,Refugio State Beach,SP,Goleta,CA
