,Long,Lat,Code,Campground,Type,City,State
,45.26,-69.289,PEAK,Peaks - Kenny State Park,SP,Dover-Foxcroft,ME
,44.939,-70.72,RANG,Rangeley Lake State Park,SP,Rangeley,ME
,44.882,-67.132,REVE,Reversing Falls Park,CP,Pembroke,ME
,47.255,-68.593,RIVE,Riverside Park,CP,Fort Kent,ME
,45.92,-68.859,ROAR,Roaring Brook - Baxter State Park,SP,Millinocket,ME
,44.05,-70.68,SALM,Salmon Point City Campground,CP,Bridgton,ME
,44.241,-68.306,SEAW,Seawall - Acadia National Park,NP,Southwest Harb,ME
,43.942,-70.546,SEBA,Sebago Lake State Park,SP,Casco,ME
,46.109,-68.9,SOUT,South Branch Pond - Baxter State Park,SP,Millinocket,ME
,44.036,-70.982,SWAN,Swans Falls Campground,AMC,Fryeburg,ME
,46.167,-68.854,TROU,Trout Brook Farm - Baxter State Park,SP,Millinocket,ME
,44.306,-71.063,WILD,Wild River,NF,Gilead,ME
,43.804,-70.113,WINS,Winslow City Park,CP,Freeport,ME
,44.269,-71.021,BASI,Basin,NF,Gilead,NH
,43.115,-71.331,BEAR,Bear Brook State Park,SP,Allenstown,NH
,44.049,-71.561,BIGR,Big Rock,NF,Lincoln,NH
,44.007,-71.245,BLAC,Blackberry Crossing,NF,Conway,NH
,43.871,-71.63,CAMP,Campton,NF,Campton,NH
,44.177,-71.696,CANN,Cannon Mountain RV Park,SP,Franconia,NH
,43.651,-71.884,CARD,Cardigan Campsites,AMC,Alexandria,NH
,44.265,-71.013,COLD,Cold River,NF,North Chatham,NH
,44.944,-71.328,COLE,Coleman State Park,SP,Stewartstown,NH
,44.003,-71.232,COVE,Covered Bridge,NF,Conway,NH
,45.191,-71.191,DEER,Deer Mountain,SF,Pittsburg,NH
,44.333,-71.219,DOLL,Dolly Copp,NF,Gorham,NH
,44.178,-71.4,DRYR,Dry River - Crawford Notch State Park,SP,Harts Location,NH
,43.574,-71.355,ELLA,Ellacoya State Beach and RV Park,SP,Gilford,NH
,42.958,-71.887,GREE,Greenfield State Park,SP,Greenfield,NH
,43.546,-71.365,GUNS,Gunstock Area,CP,Gilford,NH
,42.899,-70.816,HAMP,Hampton Beach State Park,SP,Hampton,NH
,44.064,-71.594,HANC,Hancock,NF,Lincoln,NH
,44.25,-71.556,HAYS,Haystack Road,NF,Twin Mountain,NH
,43.998,-71.334,JIGG,Jigger Johnson,NF,Conway,NH
,44.139,-71.685,LAFA,Lafayette - Franconia Notch State Park,SP,Franconia Notch,NH
,45.06,-71.302,LAKE,Lake Francis State Park,SP,Pittsburg,NH
,44.572,-71.224,MILA,Milan Hill State Park,SP,Milan,NH
,44.738,-71.144,MOLL,Mollidgewock State Park,SP,Errol,NH
,42.844,-72.074,MONA,Monadnock State Park,SP,Jaffrey,NH
,44.4,-71.231,MOOS,Moose Brook State Park,SP,Gorham,NH
,43.321,-72.063,MOUS,Mount Sunapee,SP,Newbury,NH
,42.948,-71.622,NEW,New Boston Military,MIL,New Boston,NH
,43.998,-71.371,PASS,Passaconaway,NF,Conway,NH
,43.08,-71.173,PAWT,Pawtuckaway State Park,SP,Nottingham,NH
,43.234,-72.116,PILL,Pillsbury State Park,SP,Washington,NH
,44.009,-71.649,RUSS,Russell Pond,NF,Lincoln,NH
,43.72,-72.261,STOR,Storrs Pond Rec Area,CP,Hanover,NH
,44.26,-71.505,SUG1,Sugarloaf 1,NF,Twin Mountain,NH
,44.258,-71.504,SUG2,Sugarloaf 2,NF,Twin Mountain,NH
,43.995,-71.636,TRIP,Tripoli Rd,NF,Campton,NH
,44.704,-71.05,UMBA,Umbagog Lake,SP,Cambridge,NH
,43.942,-71.509,WATE,Waterville,NF,Waterville Valley,NH
,42.94,-72.305,WHEE,Wheelock Park Campground,CP,Keene,NH
,43.845,-71.225,WHIK,White Lake State Park,SP,Tamworth,NH
,43.954,-71.214,WHIL,White Ledge,NF,Conway,NH
,44.305,-71.065,WILR,Wild River,NF,Gilead,NH
,44.075,-71.794,WILW,Wildwood,NF,North Woodstock,NH
,44.265,-71.501,ZEAL,Zealand,NF,Twin Mountain,NH
,40.162,-74.131,ALLA,Allaire State Park,SP,Farmingdale,NJ
,39.743,-74.734,ATSI,Atsion - Wharton State Forest,SF,Shamong,NJ
,39.624,-74.434,BASS,Bass River State Forest,SF,Tuckerton,NJ
,39.243,-74.849,BELL,Belleplain State Forest,SF,Woodbine,NJ
,39.37,-74.558,BIRC,Birch Grove,CP,Northfield,NJ
,39.872,-74.522,BREN,Brendan Byrne State Forest,SF,Vincentown,NJ
,40.41,-75.038,BULL,Bulls Island State Park,SP,Stockton,NJ
,40.446,-74.266,CHEE,Cheesequake State Park,SP,South Amboy,NJ
,40.264,-74.157,EARL,Earle RV Military,MIL,Colts Neck,NJ
,39.69,-74.547,GODF,Godfrey Bridge - Wharton State Forest,SF,Chatsworth,NJ
,41.291,-74.689,HIGH,High Point State Park - Sawmill Area,SP,Sussex,NJ
,40.917,-74.915,JENN,Jenny Jump State Forest,SF,Blairstown,NJ
,41.002,-74.59,MAHL,Mahlon Dickerson Reservation,CP,Lake Hopatcong,NJ
,41.027,-75,MOHI,Mohican Walk-In Campsites,AMC,Blairstown,NJ
,41.227,-74.762,OCQU,Ocquittunk - Stokes State Forest,SF,Branchville,NJ
,39.509,-75.139,PARV,Parvin State Park,SP,Pittsgrove Twp.,NJ
,40.001,-74.552,RANG,Range 14 Camp Military - Ft Dix,MIL,Browns Mills,NJ
,40.45,-73.991,SANH,Sandy Hook - Gateway National Rec Area,NP,Highlands,NJ
,41.198,-74.795,SHOT,Shotwell - Stokes State Forest,SF,Sandyston,NJ
,40.663,-74.939,SPRU,Spruce Run Recreation Area,SP,Clinton,NJ
,40.872,-74.81,STEP,Stephens State Park,SP,Hackettstown,NJ
,41.076,-74.82,SWAR,Swartswood State Park,SP,Newton,NJ
,40.197,-74.298,TURK,Turkey Swamp,CP,Freehold,NJ
,40.696,-74.887,VOOR,Voorhees State Park,SP,Glen Gardner,NJ
,40.011,-74.611,WILP,Willow Pond Camp Military - Ft Dix,MIL,Fort Dix,NJ
,41.005,-75.104,WORT,Worthington State Forest,SF,Columbia,NJ
,44.568,-73.423,AUSA,Ausable Point  - DEC,SPR,Peru,NY
,42.485,-76.807,BACK,Backbone Horse Camp,NF,Burdett,NY
,40.762,-73.449,BATT,Battle Row,CP,Old Bethpage,NY
,42.118,-75.069,BEAR,Bear Spring Mountain - DEC,SPR,Walton,NY
,41.229,-74.07,BEVP,Beaver Pond - Harriman State Park,SP,Stony Point,NY
,41.979,-74.839,BEVK,Beaverkill - DEC,SPR,Roscoe,NY
,41.27,-73.925,BLUE,Blue Mountain Reservation,CP,Peekskill,NY
,42.484,-76.799,BLUB,Blueberry Patch,NF,Burdett,NY
,40.825,-73.222,BLYD,Blydenburgh Park,CP,Smithtown,NY
,42.522,-75.68,BOWM,Bowman Lake State Park,SP,Oxford,NY
,44.505,-74.118,BUCK,Buck Pond - DEC,SPR,Gabriels,NY
,44.163,-76.265,BURN,Burnham Point State Park,SP,Cape Vincent,NY
,42.416,-76.521,BUTT,Buttermilk Falls State Park,SP,Ithaca,NY
,42.037,-78.846,CAIN,Cain Hollow (Quaker Area) - Allegany State Park,SP,Salamanca,NY
,43.125,-74.468,CARO,Caroga Lake - DEC,SPR,Johnstown,NY
,40.87,-72.943,CATH,Cathedral Pines County Park,CP,Middle Island,NY
,42.896,-76.753,CAYU,Cayuga Lake State Park,SP,Seneca Falls,NY
,44.204,-76.197,CEDP,Cedar Point State Park,SP,Clayton,NY
,41.028,-72.226,CEDS,Cedar Point Suffolk County Park,CP,East Hampton,NY
,42.215,-75.818,CHEN,Chenango Valley State Park,SP,Chenango Forks,NY
,42.622,-73.41,CHER,Cherry Plain State Park,SP,Cherry Plain,NY
,41.461,-73.831,CLAR,Clarence Fahnestock State Park,SP,Carmel,NY
,42.384,-76.86,CLUT,Clute Memorial Park,CP,Watkins Glen,NY
,44.892,-75.14,COLE,Coles Creek State Park,SP,Waddington,NY
,42.3,-75.743,COOK,Cook County Park,CP,Greene,NY
,42.121,-73.52,COPA,Copake Falls - Taconic State Park,SP,Copake Falls,NY
,44.197,-74.821,CRAN,Cranberry Lake  - DEC,SPR,Cranberry Lake,NY
,41.178,-73.896,CROT,Croton Point Park,CP,Croton-on-Huds,NY
,44.025,-73.425,CROW,Crown Point - DEC,SPR,Crown Point,NY
,44.725,-73.426,CUMB,Cumberland Bay State Park,SP,Plattsburg,NY
,40.771,-72.738,CUPS,Cupsogue County Park,CP,Westhampton,NY
,42.902,-78.433,DARI,Darien Lakes State Park,SP,Darien Center,NY
,43.292,-75.417,DELT,Delta Lake State Park,SP,Rome,NY
,42.151,-74.208,DEVI,Devils Tombstone - DEC,SPR,Lanesville,NY
,44.33,-75.997,DEWO,DeWolf Point State Park,SP,Fineview,NY
,43.748,-73.793,EAGL,Eagle Point - DEC,SPR,Pottersville,NY
,42.327,-75.223,EAST,East Sidney Dam Rec Area,CP,Sidney,NY
,44.63,-75.477,EELW,Eel Weir State Park,SP,Ogdensburg,NY
,43.763,-74.712,EIGH,Eighth Lake - DEC,SPR,Inlet,NY
,42.602,-79.115,EVAN,Evangola State Park,SP,Irving,NY
,43.343,-76.689,FAIR,Fair Haven Beach State Park,SP,Fair Haven,NY
,42.7,-76.42,FILL,Fillmore Glen State Park,SP,Moravia,NY
,44.308,-74.365,FISH,Fish Creek Pond - DEC,SPR,Tupper Lake,NY
,40.582,-73.889,FLOB,Floyd Bennett Field - Gateway National Rec Area,NP,Brooklyn,NY
,43.905,-74.525,FORK,Forked Lake - DEC,SPR,Long Lake,NY
,40.605,-74.059,FORW,Fort Wadsworth - Gateway National Rec Area,NP,Staten Island,NY
,43.274,-78.995,FOUR,Four Mile Creek State Park,SP,Youngstown,NY
,42.573,-75.128,GILB,Gilbert Lake State Park,SP,Laurens,NY
,42.794,-74.869,GLIM,Glimmerglass State Park,SP,Cooperstown,NY
,43.817,-74.592,GOLB,Golden Beach - DEC,SPR,Piseco,NY
,43.374,-78.483,GOLH,Golden Hill State Park,SP,Barker,NY
,44.279,-75.995,GRAS,Grass Point State Park,SP,Alexandria Bay,NY
,43.056,-76.005,GREE,Green Lakes State Park,SP,Fayetteville,NY
,42.288,-76.086,GREW,Greenwood County Park,CP,Binghamton,NY
,43.36,-77.946,HAML,Hamlin Beach State Park,SP,Hamlin,NY
,42.337,-76.831,HAVA,Havana Glen,CP,Montour Falls,NY
,43.455,-73.694,HEAR,Hearthstone Point - DEC,SPR,Lake George Vi,NY
,42.091,-76.226,HICK,Hickories Park,CP,Owego,NY
,44.496,-74.922,HIGL,Higley Flow State Park,SP,Colton,NY
,41.008,-72.016,HITH,Hither Hills State Park,SP,Montauk,NY
,42.595,-75.373,HUNT,Hunts Pond,SP,New Berlin,NY
