,Long,Lat,Code,Campground,Type,City,State
,41.235,-92.734,EVEL,Eveland Access,CP,Beacon,IA
,41.733,-91.725,FWKE,F. W. Kent County Park,CP,Tiffin,IA
,41.433,-90.924,FAIR,Fairport State Rec Area,SRA,Muscatine,IA
,42.495,-94.628,FEAT,Featherstone County Park,CP,Rockwell City,IA
,41.162,-91.008,FERR,Ferry Landing,COE,Muscatine,IA
,40.737,-94.24,FIFE,Fifes Grove Co Park,CP,Mount Ayr,IA
,42.324,-90.908,FILL,Fillmore County Rec Area,CP,Fillmore,IA
,42.654,-90.806,FINL,Finleys Landing City Park,CP,Dubuque,IA
,41.27,-91.118,FLAM,Flaming Prairie Park,CP,Grandview,IA
,42.604,-91.908,FONT,Fontana County Park,CP,Independence,IA
,42.158,-93.046,FORE,Forest Reserve - Marshalltown,CP,Liscomb,IA
,42.614,-91.311,FOUN,Fountain Springs County Park,CP,Greeley,IA
,41.063,-90.968,FOUR,Fourth Pumping Plant Rec Area,CP,Kingston,IA
,42.677,-94.207,FRAN,Frank A Gotch Park,CP,Humboldt,IA
,42.852,-91.106,FREN,Frenchtown County Park,CP,Guttenberg,IA
,42.908,-91.471,FRIE,Friedens County Park,CP,Elkader,IA
,41.268,-95.917,FRND,Friendship City Park,CP,Council Bluffs,IA
,43.393,-94.865,FTDE,Ft. Defiance State Park,SP,Estherville,IA
,42.506,-95.414,GALV,Galva City Park,CP,Galva,IA
,42.886,-93.222,GALV,Galvin Memorial Park,CP,Sheffield,IA
,42.938,-92.85,GATE,Gates Bridge County Park,CP,Marble Rock,IA
,40.824,-91.383,GEOD,Geode State Park,SP,Danville,IA
,43.054,-92.946,GEOW,George Wyatt City Park,CP,Rockford,IA
,42.536,-92.396,GEOR,George Wyth State Park,SP,Cedar Falls,IA
,42.959,-91.632,GILB,Gilbertson Conservation Education Area,CP,Elgin,IA
,41.343,-92.592,GLEN,Glendale Access,CP,Oskaloosa,IA
,41.048,-95.734,GLEN,Glenwood Lake Park,CP,Glenwood,IA
,43.041,-91.837,GOEK,Goeken Co Park,CP,West Union,IA
,42.551,-94.689,GORD,Gordon Prange City Park,CP,Pomeroy,IA
,43.009,-91.957,GOUL,Gouldsburg County Park,CP,Hawkeye,IA
,42.168,-93.033,GRAM,Grammer Grove Wildlife Area,CP,Liscomb,IA
,42.264,-94.893,GRAN,Grant County Park,CP,Auburn,IA
,40.79,-91.362,GRAY,Grays Landing,CP,Denmark,IA
,41.9,-95.081,GREA,Great Western Co Park,CP,Manning,IA
,41.115,-94.383,GREE,Green Valley State Park,SP,Creston,IA
,42.893,-92.802,GREE,Greene Rec Area - Camp Comfort,CP,Greene,IA
,43.371,-95.165,GULL,Gull Point State Park,SP,Milford,IA
,40.984,-94.967,HACK,Hacklebarney Woods County Park,CP,Villisca,IA
,42.385,-94.998,HAGG,Hagge County Park,CP,Sac City,IA
,43.354,-92.923,HALV,Halvorson Park,CP,St. Ansgar,IA
,41.863,-92.112,HANN,Hannen County Park,CP,Blairstown,IA
,43.119,-92.411,HAUS,Haus Park,CP,North Washingt,IA
,43.003,-96.488,HAWA,Hawarden City Park,CP,Hawarden,IA
,41.988,-94.37,HEND,Henderson Co Park,CP,Jefferson,IA
,41.99,-93.353,HICK,Hickory Grove County Park,CP,Nevada,IA
,42.27,-92.311,HICL,Hickory Hills Park -  La Porte City,CP,La Porte City,IA
,41.18,-93.609,HICN,Hickory Hills Park - New Virginia,CP,New Virgiinia,IA
,41.555,-91.521,HILL,Hills Access,CP,Hills,IA
,43.191,-95.853,HILP,Hills Park - Sheldon,CP,Sheldon,IA
,42.637,-96.319,HILV,Hillview County Rec Area,CP,Hinton,IA
,41.413,-95.857,HITC,Hitchcock County Nature Center,CP,Honey Creek,IA
,42.164,-91.976,HOEF,Hoefle - Dulin Area County Park,CP,Vinton,IA
,42.614,-91.311,HOLB,Holbert Park,CP,Greeley,IA
,40.861,-92.928,HONE,Honey Creek State Park,SP,Moravia,IA
,40.943,-93.997,HOPE,Hopeville Square Co Park,CP,Hopeville,IA
,42.055,-90.664,HORS,Horseshoe Pond,CP,Maquoketa,IA
,42.985,-92.559,HOWA,Howards Woods,CP,Nashua,IA
,41.365,-92.973,HOWE,Howell Station - Red Rock Lake,COE,Pella,IA
,40.391,-91.38,HUBI,Hubinger Landing Park,CP,Keokuk,IA
,41.925,-96.134,HUFF,Huff - Warner Access Area,CP,Blencoe,IA
,42.113,-94.575,HYDE,Hyde Park,CP,Scranton,IA
,42.348,-95.467,IDA,Ida Grove City Park,CP,Ida Grove,IA
,42.461,-91.891,INDE,Independence City RV Park,CP,Independence,IA
,40.633,-91.752,INDI,Indian Lake Park,CP,Farmington,IA
,40.724,-91.236,INDP,Indian Path Park,CP,Wever,IA
,42.943,-93.377,INGE,Ingebretson County Park,CP,Thornton,IA
,43.319,-92.881,INTE,Interstate Co Park,CP,Mitchell,IA
