,State
1114,NC
1115,NC
1116,NC
1117,NC
1118,NC
1119,NC
1120,NC
1121,NC
1122,NC
1123,NC
1124,NC
1125,NC
1126,NC
1127,NC
1128,NC
1129,NC
1131,NC
1132,NC
1133,NC
1134,NC
1135,NC
1136,NC
1137,NC
1138,NC
1139,NC
1140,NC
1141,NC
1142,NC
1143,NC
1144,NC
1145,NC
1146,NC
1147,ND
1148,ND
1149,ND
1150,NE
1151,NE
1152,NE
1153,NE
1154,NE
1155,NE
1156,NE
1157,NE
1158,NH
1159,NJ
1160,NJ
1161,NJ
1162,NJ
1163,NJ
1164,NJ
1165,NJ
1166,NJ
1167,IN
1168,NJ
1169,NJ
1170,NJ
1171,NJ
1172,NJ
1173,NJ
1174,NJ
1175,NJ
1176,NJ
1177,NJ
1178,NM
1179,NM
1180,NM
1181,NM
1182,NM
1183,NM
1184,NM
1185,NM
1186,AZ
1187,NM
1188,NM
1189,NM
1190,NM
1191,NM
1192,NM
1193,NM
1194,NM
1195,NV
1196,NV
1197,NV
1198,NV
1199,NY
1200,NY
1201,NY
1202,NY
1203,NY
1204,NY
1205,NY
1206,NY
1207,NY
1208,NY
1209,NY
1210,NY
1211,NY
1212,NY
1213,NY
1214,NY
1215,NY
1216,NY
1217,NY
1218,NY
1219,NY
1220,NY
1221,NY
1222,NY
1223,NY
1224,OH
1225,OH
1226,OH
1227,OH
1228,OH
1229,OH
1230,OH
1231,OH
1232,OH
1233,OH
1234,OH
1235,OH
1236,OH
1237,OH
1238,OH
1239,OH
1240,OH
1241,OH
1242,OH
1243,OH
1244,OH
1245,OH
1246,OH
1247,OH
1248,OH
1249,OH
1250,OH
1251,OH
1252,OH
1253,OH
1254,OH
1255,OH
1256,OH
1257,OH
1258,OH
1259,OH
1260,OH
1261,OH
1262,OH
1263,OH
1264,OH
1265,OH
1266,OH
1267,OH
1268,OH
1269,OH
1270,OH
1271,OH
1272,OH
1273,OH
1274,OH
1275,OH
1276,OH
1277,OH
1278,OH
1279,OH
1280,OH
1281,OH
1282,OH
1283,OH
1284,OH
1285,OH
1286,OH
1287,OH
1288,OH
1289,OH
1290,OH
1291,OH
1292,OH
1293,OH
1294,OH
1295,OH
1296,OH
1297,OH
1298,OH
1299,OH
1300,OH
1301,OH
1302,OH
1303,OH
1304,OH
1305,OH
1306,OH
1307,OH
1308,OH
1309,OH
1310,OH
1311,OH
1312,OH
1313,OH
1314,OH
1315,OH
1316,OH
1317,OH
1318,OH
1319,OH
1320,OH
1321,OH
1322,OH
1323,OH
1324,OH
1325,OH
1326,OH
1327,OH
1328,OH
1329,OH
1330,OH
1331,OH
1332,OH
1333,OH
1334,OH
1335,OH
1336,PA
1337,OH
1338,OH
1339,OH
1340,OH
1341,OH
1342,OH
1343,OH
1344,OH
1345,OH
1346,OH
1347,OH
1348,OH
1349,OH
1350,OH
1351,OH
1352,OH
1353,OH
1354,OH
1355,OH
1356,OH
1357,OH
1358,OH
1359,OH
1360,OH
1361,OH
1362,OH
1363,OH
1364,OH
1365,OH
1366,OH
1367,OH
1368,OH
1369,OH
1370,OH
1371,OH
1372,OH
1373,OH
1374,OH
1375,OH
1376,OH
1377,OK
1378,OK
1379,OK
1380,OK
1381,OK
1382,OK
1383,OK
1384,OK
1385,OK
1386,OK
1387,OK
1388,OK
1389,OK
1390,OK
1391,OK
1392,OK
1393,OK
1394,OK
1395,OK
1396,OK
1397,OK
1398,OK
1399,OK
1400,OK
1401,OK
1402,OK
1403,OK
1404,OK
1405,OK
1406,OK
1407,OK
1408,OK
1409,OK
1410,OK
1411,OK
1412,OK
1413,OK
1414,OK
1415,OK
1416,OK
1417,OK
1418,OK
1419,OK
1420,OK
1421,OK
1422,OK
1423,AR
1424,OK
1425,OK
1426,OK
1427,OK
1428,AR
1429,OK
1430,OR
1431,OR
1432,OR
1433,OR
1434,OR
1435,OR
1436,OR
1437,OR
1438,OR
1439,OR
1440,OR
1441,OR
1442,CA
1443,OR
1444,OR
1445,OR
1446,OR
1447,OR
1448,OR
1449,OR
1450,OR
1451,OR
1452,OR
1453,OR
1454,OR
1455,OR
1456,OR
1457,OR
1458,OR
1459,OR
1460,OR
1461,OR
1462,OR
1463,OR
1464,OR
1465,OR
1466,OR
1467,OR
1468,OR
1469,OR
1470,OR
1471,OR
1472,OR
1473,OR
1474,OR
1475,OR
1476,OR
1477,OR
1478,OR
1479,OR
1480,OR
1481,OR
1482,OR
1483,OR
1484,OR
1485,OR
1486,OR
1487,OR
1488,OR
1489,OR
1490,OR
1491,OR
1492,OR
1493,OR
1494,OR
1495,OR
1496,OR
1497,OR
1498,OR
1499,OR
1500,OR
1501,OR
1502,OR
1503,OR
1504,OR
1505,OR
1506,OR
1507,WA
1508,OR
1509,OR
1510,OR
1511,OR
1512,OR
1513,OR
1514,OR
1515,OR
1516,PA
1517,PA
1518,PA
1519,PA
1520,PA
1521,OH
1522,PA
1523,PA
1524,PA
1525,PA
1526,PA
1527,PA
1528,PA
1529,PA
1530,PA
1531,PA
1532,PA
1533,PA
1534,PA
1535,PA
1536,NJ
1537,PA
1538,PA
1539,PA
1540,PA
1541,PA
1542,RI
1543,RI
1544,RI
1545,VA
1546,SC
1547,SC
1548,GA
1549,SC
1550,SC
1551,SC
1552,SC
1553,SC
1554,SC
1555,SC
1556,SC
1557,SC
1558,SC
1559,SC
1560,SD
1561,SD
1562,SD
1563,SD
1564,TN
1565,TN
1566,TN
1567,TN
1568,TN
1569,TN
1570,NC
1571,TN
1572,TN
1573,TN
1574,TN
1575,TN
1576,TN
1577,TN
1578,TN
1579,TN
1580,NC
1581,TN
1582,TN
1583,TN
1584,TN
1585,TN
1586,
1587,TN
1588,TN
1589,TN
1590,TN
1591,TN
1592,TN
1593,TN
1594,TX
1595,TX
1596,TX
1597,TX
1598,TX
1599,TX
1600,TX
1601,TX
1602,TX
1603,TX
1604,TX
1605,TX
1606,TX
1607,TX
1608,TX
1609,TX
1610,TX
1611,TX
1612,TX
1613,TX
1614,TX
1615,TX
1616,TX
1617,TX
1618,TX
1619,TX
1620,TX
1621,TX
1622,TX
1623,TX
1624,TX
1625,TX
1626,TX
1627,TX
1628,TX
1629,TX
1630,TX
1631,TX
1632,TX
1633,TX
1634,TX
1635,TX
1636,TX
1637,TX
1638,TX
1639,TX
1640,TX
1641,TX
1642,TX
1643,TX
1644,TX
1645,TX
1646,TX
1647,TX
1648,TX
1649,TX
1650,TX
1651,TX
1652,TX
1653,TX
1654,TX
1655,TX
1656,TX
1657,TX
1658,TX
1659,TX
1660,TX
1661,TX
1662,TX
1663,TX
1664,TX
1665,TX
1666,TX
1667,TX
1668,TX
1669,TX
1670,TX
1671,TX
1672,TX
1673,TX
1674,TX
1675,TX
1676,TX
1677,TX
1678,TX
1679,TX
1680,TX
1681,TX
1682,TX
1683,TX
1684,TX
1685,TX
1686,TX
1687,TX
1688,TX
1689,TX
1690,TX
1691,TX
1692,TX
1693,TX
1694,TX
1695,TX
1696,TX
1697,TX
1698,TX
1699,TX
1700,TX
1701,TX
1702,TX
1703,TX
1704,TX
1705,TX
1706,TX
1707,TX
1708,TX
1709,TX
1710,TX
1711,TX
1712,TX
1713,TX
1714,TX
1715,TX
1716,AR
1717,TX
1718,TX
1719,TX
1720,TX
1721,TX
1722,UT
1723,UT
1724,UT
1725,UT
1726,UT
1727,UT
1728,UT
1729,UT
1730,UT
1731,UT
