,Lat,Long,Code,Campground,Type,City,State
1837,29.544,-94.784,JAMR,James H. Robbins Memorial Park,CP,Anahuac,TX
2056,29.548,-101.019,SPUR,Spur 406 - Amistad National Rec Area,NP,,TX
2015,29.578,-100.973,ROUG,Rough Canyon - Amistad National Rec Area,NP,Del Rio,TX
1789,29.587,-99.738,GARN,Garner State Park,SP,Concan,TX
1964,29.597,-97.585,PALM,Palmetto State Park,SP,,TX
1854,29.613,-100.432,KICK,Kickapoo Cavern State Park,SP,Bracketville,TX
2099,29.62,-100.008,WESC,Wes Cooksey County Park,CP,Camp Wood,TX
1841,29.656,-94.692,JOBB,Job Beason County Park,CP,Anahuac,TX
1749,29.679,-94.631,DOBA,Double Bayou County Park,CP,Anahuac,TX
2037,29.694,-101.319,SEMI,Seminole Canyon State Park,SP,Comstock,TX
1924,29.747,-94.828,MCCO,McCollum County Park,CP,Baytown,TX
1777,29.756,-94.688,FORA,Fort Anahuac County Park,CP,Anahuac,TX
1912,29.808,-99.571,LOST,Lost Maples State Natural Area,SP,Vanderpool,TX
1898,29.809,-101.56,LANG,Langtry Wagon Wheel,CP,Langtry,TX
2058,29.812,-96.108,STEP,Stephen Austin State Park,SP,San Felipe,TX
1820,29.812,-94.799,HUGO,Hugo Point County Park,CP,Cove,TX
2116,29.812,-94.38,WINN,Winnie - Stowell County Park,CP,Anahuac,TX
2107,29.835,-94.651,WHIT,White Memorial County Park,CP,Anahuac,TX
1800,29.853,-98.504,GUAR,Guadalupe River State Park,SP,Spring Branch,TX
1908,29.855,-97.698,LOCK,Lockhart State Park,SP,,TX
1950,29.874,-98.206,NORP,North Park - Canyon Lake,COE,New Braunfels,TX
1695,29.883,-98.216,CANY,Canyon Lake Military - Randolph AFB,MIL,Canyon Lake,TX
1732,29.89,-98.292,CRAN,Cranes Mill Park - Canyon Lake,COE,Sattler,TX
1694,29.896,-98.234,CANL,Canyon - Canyon Lake,COE,New Braunfels,TX
2075,29.904,-96.676,TOWS,Town Square - Fayetteville,CP,Fayetteville,TX
1980,29.908,-98.263,POTT,Potters Creek - Canyon Lake,COE,Fredericksburg,TX
1966,29.945,-96.749,PARP,Park Prarie - Lake Fayette,UTIL,La Grange,TX
1953,29.95,-96.725,OAKT,Oak Thicket Park - Fayette Lake,UTIL,,TX
1853,30.01,-99.121,KERR,Kerrville - Schreiner City Park,CP,Kerrville,TX
2084,30.017,-97.146,VERN,Vernon L Richards Riverbend Park,CP,Smithville,TX
1680,30.039,-97.158,BUES,Buescher State Park,SP,Smithville,TX
1662,30.09,-98.427,BLAN,Blanco State Park,SP,Blanco,TX
2055,30.105,-95.653,SPRC,Spring Creek Park,CP,Tomball,TX
1653,30.11,-97.287,BAST,Bastrop State Park,SP,Bastrop,TX
1719,30.134,-93.921,CLAY,Claiborne West Park,CP,Vidor,TX
2048,30.142,-97.286,SOUS,South Shore Park - Lake Bastrop,UTIL,,TX
1873,30.142,-95.158,LAHS,Lake Houston Wilderness Park,CP,New Caney,TX
1783,30.152,-103.287,FOPE,Fort Pena Colorada Park,CP,Marathon,TX
1951,30.166,-97.28,NOSP,North Shore Park - Lake Bastrop,UTIL,Bastrop,TX
1927,30.179,-97.721,MCKI,McKinney Falls State Park,SP,Austin,TX
1860,30.242,-98.911,LADB,Lady Bird Johnson City Park,CP,Fredericksburg,TX
2085,30.252,-94.174,VILL,Village Creek State Park,SP,,TX
2008,30.285,-96.572,ROCL,Rocky Creek - Lake Somerville,COE,Somerville,TX
1945,30.291,-96.667,NAIL,Nails Creek - Lake Somerville State Park,SP,,TX
2122,30.295,-96.535,YEGU,Yegua Creek - Lake Somerville,COE,Somerville,TX
1956,30.305,-96.512,OVER,Overlook - Lake Somerville,COE,Brenham,TX
1970,30.308,-98.258,PEDE,Pedernales Falls State Park,SP,Johnson City,TX
1658,30.309,-96.635,BIRC,Birch Creek - Lake Somerville State Park,SP,Somerville,TX
1689,30.319,-97.758,CAMM,Camp Mabry Military,MIL,Austin,TX
1759,30.327,-97.841,EMMA,Emma Long Metropolitan Park,CP,Austin,TX
1657,30.329,-96.569,BIGC,Big Creek Park and Marina,CP,Somerville,TX
2097,30.339,-96.55,WELC,Welch Park - Somerville,CP,Somerville,TX
1947,30.376,-96.116,NAVA,Navasota RV Park,CP,Navasota,TX
1646,30.402,-97.953,ARKA,Arkansas Bend - Lake Travis,CP,Austin,TX
1735,30.431,-97.873,CYPR,Cypress Creek - Lake Travis,CP,Austin,TX
2046,30.446,-99.804,SOUL,South Llano River State Park,SP,,TX
1960,30.466,-98.011,PACE,Pace Bend Park - Lake Travis,CP,Spicewood,TX
2031,30.468,-97.907,SANC,Sandy Creek - Lake Travis,CP,Austin,TX
1799,30.481,-98.142,GREL,Grelle - Lake Travis,UTIL,,TX
1847,30.487,-99.761,JUNC,Junction City Park,CP,Junction,TX
1940,30.487,-98.099,MULE,Muleshoe Bend - Lake Travis,UTIL,Spicewood,TX
2035,30.491,-99.761,SCHR,Schreiner City Park - Junction,CP,Junction,TX
2077,30.494,-98.114,TURK,Turkey Bend - Lake Travis,UTIL,Lago Vista,TX
1760,30.501,-98.814,ENCH,Enchanted Rock State Natural Area,SP,Fredericksburg,TX
1851,30.511,-95.662,KELL,Kellys Pond,NF,Montgomery,TX
1685,30.527,-95.587,CAGL,Cagle Rec Area,NF,New Waverly,TX
2039,30.541,-98.173,SHAF,Shaffer Bend  - Lake Travis,UTIL,Marble Falls,TX
1750,30.553,-95.133,DOUB,Double Lake,NF,Coldspring,TX
2063,30.56,-95.638,STUB,Stubblefield Lake,NF,New Waverly,TX
1688,30.564,-98.192,CAMC,Camp Creek - Lake Travis,UTIL,,TX
1740,30.599,-103.929,DAVI,Davis Mountains State Park,SP,Fort Davis,TX
1790,30.616,-96.053,GIBB,Gibbons Creek Reservoir,UTIL,Carlos,TX
1822,30.626,-95.528,HUNT,Huntsville State Park,SP,Huntsville,TX
1876,30.657,-95.001,LAKL,Lake Livingston State Park,SP,Livingston,TX
2120,30.665,-95.151,WOLP,Wolf Creek Park - Lake Livingston,AUTH,,TX
1703,30.674,-97.737,CEDB,Cedar Breaks - Lake Georgetown,COE,Georgetown,TX
2020,30.678,-97.759,RUSS,Russell Park - Georgetown Lake,COE,Georgetown,TX
2065,30.682,-97.361,TAYL,Taylor - Granger Lake,COE,Georgetown,TX
2112,30.685,-97.349,WILS,Wilson Fox - Granger Lake,COE,Granger,TX
1656,30.686,-97.635,BERR,Berry Springs Park and Preserve,CP,Georgetown,TX
1840,30.687,-97.747,JIMH,Jim Hogg - Lake Georgetown,COE,,TX
2110,30.696,-97.385,WILC,Willis Creek - Granger Lake,COE,Granger,TX
2074,30.71,-94.675,TOMB,Tombigbee Lake  -  AC Indian Reservation,RES,Livingston,TX
1828,30.737,-98.369,INKS,Inks Lake State Park,SP,Burnet,TX
1781,30.737,-99.212,FORM,Fort Mason City Park,CP,Mason,TX
2007,30.749,-98.71,ROBN,Robinson City Park,CP,Llano,TX
1649,30.755,-98.677,BADU,Badu Park,CP,Llano,TX
1661,30.765,-98.454,BLAR,Black Rock Park,UTIL,Honey Creek,TX
1691,30.823,-94.202,CAMP,Campers Cove - Town Bluff Reservoir,COE,Woodville,TX
2032,30.832,-94.151,SANY,Sandy Creek - Town Bluff Reservoir,COE,Jasper,TX
1920,30.853,-94.172,MARD,Martin Dies State Park,SP,Jasper,TX
1707,30.87,-98.454,CEDP,Cedar Point Rec Area,UTIL,,TX
1696,30.879,-98.437,CANY,Canyon of the Eagles Nature Park,UTIL,,TX
1915,30.88,-94.232,MAGN,Magnolia Ridge - Town Bluff Reservoir,COE,Jasper,TX
1887,30.903,-94.406,LATJ,Lake Tejas City Park,CP,Colmesneil,TX
2068,30.91,-101.895,LAND,The Landing RV Park,CP,Iraan,TX
2011,30.911,-101.893,ROCT,Rocky Top RV Park,CP,Iraan,TX
1644,30.917,-101.909,ALLO,Alley Oop Trailer Park,CP,Iraan,TX
2012,30.918,-101.909,IRAA,Rocky Top RV Park - Iraan,CP,Iraan,TX
2062,30.919,-99.797,STOC,Stock Pen Crossing RV Park - Menard,CP,Menard,TX
1652,30.946,-103.787,BALM,Balmorhea State Park,SP,Toyahvale,TX
2083,31.011,-97.621,UNIO,Union Grove  - Stillhouse Hollow Lake,COE,,TX
1739,31.017,-97.609,DANA,Dana Peak - Stillhouse Hollow Lake,COE,Belton,TX
1669,31.029,-94.318,BOUT,Bouton Lake,NF,Zavalla,TX
1670,31.059,-94.278,BOYK,Boykin Spring,NF,Zavalla,TX
1726,31.059,-98.505,COLO,Colorado Bend State Park,SP,San Saba,TX
1756,31.07,-94.126,EBEN,Ebenezer - Sam Rayburn Reservoir,COE,Jasper,TX
2080,31.071,-94.055,TWID,Twin Dikes - Sam Rayburn Reservior,COE,Jasper,TX
2030,31.096,-94.204,SANC,Sandy Creek,NF,Zavalla,TX
1907,31.115,-97.476,LIVE,Live Oak Ridge Park - Belton Lake,COE,Belton,TX
2103,31.116,-97.516,WESC,Westcliff - Belton Lake,COE,Temple,TX
2100,31.117,-97.839,WESF,West Fort Hood RV Military,MIL,Fort Hood,TX
1672,31.129,-99.383,BRAD,Brady Lake City Park,CP,Brady,TX
1991,31.133,-94.088,RAYB,Rayburn - Sam Rayburn Reservoir,COE,,TX
1997,31.134,-99.35,RICP,Richards City Park,CP,Brady,TX
1654,31.136,-97.544,BELT,Belton Lake Military - Fort Hood,MIL,Belton,TX
1693,31.137,-94.257,CANE,Caney Creek,NF,Zavalla,TX
2034,31.138,-102.217,SANT,Santa Fe Park - McCamey,CP,McCamey,TX
1931,31.151,-94.003,MILL,Mill Creek - Sam Rayburn Reservoir,COE,Brookeland,TX
1708,31.17,-97.443,CEDR,Cedar Ridge - Belton Lake,COE,Temple,TX
1700,31.193,-94.36,CASL,Cassells - Boykin County Park,CP,Zavalla,TX
1843,31.194,-98.714,JOER,Joe Ragsdale RV Park,CP,San Saba,TX
1992,31.202,-101.456,REAG,Reagan County Park,CP,Big Lake,TX
2026,31.203,-98.695,SANS,San Saba Golf RV Park,CP,San Saba,TX
2023,31.203,-94.069,SANG,San Augustine - Sam Rayburn Reservoir,COE,,TX
1911,31.203,-98.388,LOME,Lometa Regional Park,CP,Lometa,TX
2111,31.205,-93.732,WILO,Willow Oak,NF,,TX
1807,31.213,-94.267,HARV,Harvey Creek,NF,Broaddus,TX
1958,31.216,-97.51,OWLC,Owl Creek - Belton Lake,COE,,TX
2105,31.231,-97.472,WHFL,White Flint - Belton Lake,COE,Temple,TX
2115,31.247,-97.47,WINK,Winkler Park - Lake Belton,COE,Temple,TX
1768,31.25,-96.92,FALB,Falls on the Brazos Park,CP,Marlin,TX
1895,31.262,-93.679,LAKV,Lakeview,NF,,TX
1836,31.271,-94.322,JACK,Jackson Hill - Sam Rayburn Reservoir,COE,Broaddus,TX
1804,31.273,-94.405,HANK,Hanks Creek - Sam Rayburn Reservoir,COE,Huntington,TX
1831,31.284,-97.479,IRON,Iron Bridge - Belton Lake,COE,Temple,TX
2042,31.309,-94.375,SHIR,Shirley Creek - Sam Rayburn Reservoir,COE,Lufkin,TX
1826,31.309,-93.695,INDI,Indian Mounds,NF,Hemphill,TX
1938,31.327,-97.468,MOTH,Mother Neff State Park,SP,Moody,TX
1986,31.331,-96.308,PUB5,Public Use Area 5 - Thornton,CP,Thornton,TX
1761,31.342,-100.517,EQUA,Equalization Channel  - Twin Buttes Reservoir,CP,San Angelo,TX
2076,31.352,-94.314,TOWN,Townsend,NF,Zavalla,TX
2078,31.377,-100.555,TWIN,Twin Buttes Park,CP,San Angelo,TX
2054,31.377,-100.507,SPRM,Spring Creek Marina & RV Park - San Angelo,CP,San Angelo,TX
1793,31.377,-100.487,GOOD,Goodfellow AFB Military,MIL,San Angelo,TX
1929,31.379,-100.52,MIDC,Middle Concho Park,CP,San Angelo,TX
1990,31.391,-95.15,RATC,Ratcliff Lake,NF,,TX
1731,31.397,-102.36,CRAN,Crane 4-H RV Park,CP,Crane,TX
1984,31.425,-96.39,PUB2,Public Use Area 2 - Groesbeck,CP,Groesbeck,TX
1770,31.425,-97.749,FAUN,Fauntleroy City Park,CP,Gatesville,TX
1769,31.425,-97.749,FAUN,Faunt Leroy City Park,CP,Gatesville,TX
1985,31.448,-96.378,PUB3,Public Use Area 3 - Groesbeck,CP,Groesbeck,TX
1994,31.474,-93.833,REDH,Red Hills Lake,NF,,TX
2022,31.492,-100.546,SANA,San Angelo State Park,SP,,TX
1852,31.514,-99.648,KENN,Kennedy Park - O.H. Ivie Reservoir,UTIL,Coleman,TX
1933,31.521,-94.115,MISS,Mission Dolores City RV Park,CP,San Augustine,TX
1930,31.526,-97.227,MIDW,Midway - Lake Waco,COE,Waco,TX
1934,31.543,-95.232,MISS,Mission Tejas State Park,SP,Grapeland,TX
2053,31.553,-97.239,SPEE,Speegleville - Lake Waco,COE,Waco,TX
1727,31.558,-99.741,CONC,Concho Park - O.H. Ivie Reservoir,UTIL,,TX
1996,31.563,-97.235,REYN,Reynolds Creek - Lake Waco,COE,,TX
2108,31.57,-103.001,WICK,Wickett City Campground,CP,Wickett,TX
1961,31.571,-99.661,PADG,Padgitt Park - O.H. Ivie Reservoir,UTIL,Coleman,TX
1782,31.592,-96.527,FORP,Fort Parker State Park,SP,Mexia,TX
1642,31.61,-97.237,AIRP,Airport - Lake Waco,COE,Waco,TX
1935,31.619,-102.812,MONA,Monahans Sandhills State Park,SP,Monahans,TX
1879,31.656,-96.592,LAMX,Lake Mexia Rec Area,UTIL,Mexia,TX
2091,31.661,-100.74,WATE,Water Valley County Park,CP,Water Valley,TX
1989,31.682,-93.825,RAGT,Ragtown,NF,,TX
2005,31.736,-98.976,RIVE,Riverside Park - Brownwood,CP,Brownwood,TX
1651,31.739,-100.036,BALL,Ballinger Lake Park,CP,Ballinger,TX
1650,31.749,-99.945,BALL,Ballinger City Park,CP,Ballinger,TX
1765,31.765,-96.072,FAIR,Fairfield Lake State Park,SP,Fairfield,TX
1665,31.772,-93.96,BOLE,Boles Field,NF,Shelbyville,TX
2019,31.805,-95.195,RUSK,Rusk - Palestine Park,CP,Rusk,TX
1773,31.829,-99.57,FLAT,Flatrock Park - Hords Creek Lake,COE,Coleman,TX
1894,31.838,-99.592,LAHO,Lakeside - Hords Creek Lake,COE,Coleman,TX
1779,31.841,-106.443,FORB,Fort Bliss RV Military,MIL,El Paso,TX
2114,31.855,-103.078,WIKL,Winkler County Park,CP,Kermit,TX
1863,31.857,-99.029,LAKB,Lake Brownwood State Park,SP,,TX
2109,31.874,-100.533,WILD,Wildcat Park - Spence Reservoir,UTIL,,TX
1875,31.883,-100.283,LAKE,Lake Knifrim County Park,CP,Bronte,TX
1910,31.883,-97.367,LOFW,Lofers Bend West - Lake Whitney,COE,Whitney,TX
1909,31.89,-97.353,LOFE,Lofers Bend East - Lake Whitney,COE,,TX
1928,31.891,-97.702,MERI,Meridian State Park,SP,Meridian,TX
1973,31.896,-104.827,PINS,Pine Springs - Guadalupe Mountains National Park,NP,Pine Springs,TX
2089,31.898,-97.384,WALB,Walling Bend - Lake Whitney,COE,Whitney,TX
2006,31.899,-100.479,ROBL,Robert Lee City Park,CP,Robert Lee,TX
1963,31.902,-100.58,PAIN,Paint Creek Park - Spence Reservoir,UTIL,Robert Lee,TX
1785,31.905,-106.498,FRAN,Franklin Mt. State Park - Tom Mays Unit,SP,El Paso,TX
1874,31.92,-95.29,LAKJ,Lake Jacksonville Campground,CP,Jacksonville,TX
1819,31.927,-106.043,HUEC,Hueco Tanks State Historic Site,SP,El Paso,TX
1890,31.93,-97.358,LAKW,Lake Whitney State Park,SP,Whitney,TX
2087,31.94,-99.863,WLEE,W. Lee Colburn Park,CP,Winters,TX
1925,31.945,-97.406,MCCO,McCown Valley - Lake Whitney,COE,Whitney,TX
1902,31.946,-96.716,LIBE,Liberty Hill - Navarro Mills Reservoir,COE,Dawson,TX
1710,31.962,-97.414,CEDO,Cedron Creek,COE,Whitney,TX
1729,31.963,-98.503,COOP,Copperas Creek - Proctor Lake,COE,Comanche,TX
1952,31.964,-96.689,OAKP,Oak Park - Navarro Mills Reservoir,COE,Dawson,TX
1969,31.967,-96.742,PECA,Pecan Point - Navarro Mills Reservoir,COE,,TX
2119,31.975,-96.724,WOLF,Wolf Creek - Navarro Mills Reservoir,COE,Dawson,TX
1812,31.976,-98.032,HICO,Hico City Park,CP,Hico,TX
1983,31.982,-98.491,PROM,Promontory - Proctor Lake,COE,,TX
2017,31.983,-100.587,ROUC,Rough Creek Park - Spence Reservoir,UTIL,Robert Lee,TX
1791,31.989,-102.617,GOLC,Goldsmith City Park,CP,Goldsmith,TX
1705,31.99,-97.373,CECR,Cedar Creek - Lake Whitney,COE,Whitney,TX
2052,31.991,-98.456,SOWE,Sowell Creek - Proctor Lake,COE,Proctor,TX
1747,31.994,-104.834,DOGC,Dog Canyon  - Guadalupe Mountains National Park,NP,Pine Springs,TX
2057,32.006,-97.452,STEE,Steele Creek - Lake Whitney,COE,Whitney,TX
1954,32.009,-97.395,OLDF,Old Fort Park,CP,Whitney,TX
1981,32.037,-99.463,PRES,Press Morris Park,CP,Coleman,TX
2071,32.043,-94.431,TINK,Tinkle Park - Lake Murvaul,UTIL,,TX
